car_id,ride_date,deviation_normal,target_class
b12101843B,2020-01-01,-2.846,engine_ignition
b12101843B,2020-01-02,-2.431,engine_ignition
b12101843B,2020-01-03,-5.992,engine_ignition
b12101843B,2020-01-04,-3.427,engine_ignition
b12101843B,2020-01-05,-6.351,engine_ignition
b12101843B,2020-01-06,-4.991,engine_ignition
b12101843B,2020-01-07,-1.023,engine_ignition
b12101843B,2020-01-08,0.329,engine_ignition
b12101843B,2020-01-09,-2.537,engine_ignition
b12101843B,2020-01-10,-0.562,engine_ignition
b12101843B,2020-01-11,-0.898,engine_ignition
b12101843B,2020-01-12,0.998,engine_ignition
b12101843B,2020-01-13,2.583,engine_ignition
b12101843B,2020-01-14,0.543,engine_ignition
b12101843B,2020-01-15,0.891,engine_ignition
b12101843B,2020-01-16,-3.944,engine_ignition
b12101843B,2020-01-17,-1.709,engine_ignition
b12101843B,2020-01-18,-0.714,engine_ignition
b12101843B,2020-01-19,0.997,engine_ignition
b12101843B,2020-01-20,0.188,engine_ignition
b12101843B,2020-01-21,0.508,engine_ignition
b12101843B,2020-01-22,0.04,engine_ignition
b12101843B,2020-01-23,-3.948,engine_ignition
b12101843B,2020-01-24,-2.03,engine_ignition
b12101843B,2020-01-25,0.465,engine_ignition
b12101843B,2020-01-26,3.897,engine_ignition
b12101843B,2020-01-27,1.12,engine_ignition
b12101843B,2020-01-28,4.088,engine_ignition
b12101843B,2020-01-29,-0.83,engine_ignition
b12101843B,2020-01-30,-2.274,engine_ignition
b12101843B,2020-01-31,-1.634,engine_ignition
b12101843B,2020-02-01,3.932,engine_ignition
b12101843B,2020-02-02,2.262,engine_ignition
b12101843B,2020-02-03,1.896,engine_ignition
b12101843B,2020-02-04,1.783,engine_ignition
b12101843B,2020-02-05,1.289,engine_ignition
b12101843B,2020-02-06,-2.996,engine_ignition
b12101843B,2020-02-07,-4.256,engine_ignition
b12101843B,2020-02-08,-1.241,engine_ignition
b12101843B,2020-02-09,-2.819,engine_ignition
b12101843B,2020-02-10,-1.651,engine_ignition
b12101843B,2020-02-11,-4.472,engine_ignition
b12101843B,2020-02-12,-6.997,engine_ignition
b12101843B,2020-02-13,-11.738,engine_ignition
b12101843B,2020-02-14,-7.117,engine_ignition
b12101843B,2020-02-15,-9.198,engine_ignition
b12101843B,2020-02-16,-10.404,engine_ignition
b12101843B,2020-02-17,-9.621,engine_ignition
b12101843B,2020-02-18,-13.36,engine_ignition
b12101843B,2020-02-19,-10.214,engine_ignition
b12101843B,2020-02-20,-5.649,engine_ignition
b12101843B,2020-02-21,-6.68,engine_ignition
b12101843B,2020-02-22,9.335,engine_ignition
b12101843B,2020-02-23,7.288,engine_ignition
b12101843B,2020-02-24,7.516,engine_ignition
b12101843B,2020-02-25,10.58,engine_ignition
b12101843B,2020-02-26,12.623,engine_ignition
b12101843B,2020-02-27,10.907,engine_ignition
b12101843B,2020-02-28,11.852,engine_ignition
b12101843B,2020-02-29,12.281,engine_ignition
b12101843B,2020-03-01,17.634,engine_ignition
b12101843B,2020-03-02,18.623,engine_ignition
b12101843B,2020-03-03,18.892,engine_ignition
b12101843B,2020-03-04,18.391,engine_ignition
b12101843B,2020-03-05,13.75,engine_ignition
b12101843B,2020-03-06,10.203,engine_ignition
b12101843B,2020-03-07,9.486,engine_ignition
b12101843B,2020-03-08,11.229,engine_ignition
b12101843B,2020-03-09,10.075,engine_ignition
b12101843B,2020-03-10,11.548,engine_ignition
b12101843B,2020-03-11,13.551,engine_ignition
b12101843B,2020-03-12,10.809,engine_ignition
b12101843B,2020-03-13,9.298,engine_ignition
b12101843B,2020-03-14,9.465,engine_ignition
b12101843B,2020-03-15,10.135,engine_ignition
b12101843B,2020-03-16,10.028,engine_ignition
b12101843B,2020-03-17,9.439,engine_ignition
b12101843B,2020-03-18,3.021,engine_ignition
b12101843B,2020-03-19,2.572,engine_ignition
b12101843B,2020-03-20,2.104,engine_ignition
b12101843B,2020-03-21,3.034,engine_ignition
b12101843B,2020-03-22,-0.392,engine_ignition
b12101843B,2020-03-23,-2.013,engine_ignition
b12101843B,2020-03-24,-2.216,engine_ignition
b12101843B,2020-03-25,-6.049,engine_ignition
b12101843B,2020-03-26,-3.747,engine_ignition
b12101843B,2020-03-27,-5.365,engine_ignition
b12101843B,2020-03-28,-3.137,engine_ignition
b12101843B,2020-03-29,-6.514,engine_ignition
b12101843B,2020-03-30,-10.757,engine_ignition
b12101843B,2020-03-31,-15.051,engine_ignition
b12101843B,2020-04-01,-14.128,engine_ignition
G11530237Q,2020-01-01,-0.308,engine_fuel
G11530237Q,2020-01-02,-5.666,engine_fuel
G11530237Q,2020-01-03,-6.684,engine_fuel
G11530237Q,2020-01-04,-4.097,engine_fuel
G11530237Q,2020-01-05,-5.056,engine_fuel
G11530237Q,2020-01-06,-3.033,engine_fuel
G11530237Q,2020-01-07,-0.447,engine_fuel
G11530237Q,2020-01-08,6.154,engine_fuel
G11530237Q,2020-01-09,6.626,engine_fuel
G11530237Q,2020-01-10,6.717,engine_fuel
G11530237Q,2020-01-11,3.503,engine_fuel
G11530237Q,2020-01-12,-0.796,engine_fuel
G11530237Q,2020-01-13,3.112,engine_fuel
G11530237Q,2020-01-14,2.829,engine_fuel
G11530237Q,2020-01-15,3.983,engine_fuel
G11530237Q,2020-01-16,2.303,engine_fuel
G11530237Q,2020-01-17,2.12,engine_fuel
